title,url,description,likes
DigiBot - Your Personal AI Assistant,https://fossunited.org/fosshack/2023/project?project=DigiBot%20-%20Your%20Personal%20AI%20Assistant,"DigiBot - An AI assistant that interacts with its users via voice and text. DigiBot can answer questions on a wide variety of topics including literature, general knowledge and programming.\n\nAn early ",2
Cactus,https://fossunited.org/fosshack/2023/project?project=Cactus,"Cactus is an open source backend with integrated database with data validation, entity/relationship builder and REST apis.\n",2
VoicePick,https://fossunited.org/fosshack/2023/project?project=VoicePick,"Its actually ColorPick\nAn Image colour segmention into different colours uisng watershed algorithm using Computer Vision and python",2
NetFuse,https://fossunited.org/fosshack/2023/project?project=NetFuse,"NetFuse is an self hosted solution to provide http and tcp tunelling with internal network management solution",2
weather,https://fossunited.org/fosshack/2023/project?project=weather,"gives weather info of a particular area",2
LearnAwesome.org,https://fossunited.org/fosshack/2023/project?project=LearnAwesome.org,"Google Maps for learning things on the web",2
JigSaw - Efficient Notes App,https://fossunited.org/fosshack/2023/project?project=JigSaw%20-%20Efficient%20Notes%20App,"This is a app that will allow you to effectively organise your whether its your academic notes or your work notes or just general notes",2
Envixi,https://fossunited.org/fosshack/2023/project?project=Envixi,"Envixi(envixi.org) is aimed at helping businesses manage, monitor and improve their ESG performance.\n\n\n",2
mssautoplot GUI for MSS,https://fossunited.org/fosshack/2023/project?project=mssautoplot%20GUI%20for%20MSS,"A GUI for mssautoplot CLI would let users download hundreds of plots with configured parameters in a user-friendly manner.\n",2
Bulla,https://fossunited.org/fosshack/2023/project?project=Bulla,"Personal Finance Manager: Single place to track all transactions (upload different types of transactions), Dashboard to view monthly expenses, to add/view notes from personal analysis, track action it",2
BotMate,https://fossunited.org/fosshack/2023/project?project=BotMate,"BotMate enables easy and speedy Telegram bot building using web based application, with custom JavaScript code writing using built-in functions for commands management, message sending, and more. It c",2
Telegram Link Replacer Chrome Extension,https://fossunited.org/fosshack/2023/project?project=Telegram%20Link%20Replacer%20Chrome%20Extension,"Replaces 't.me' with 'telegram.me' in URLs Automatically .",2
XeroCodee,https://fossunited.org/fosshack/2023/project?project=XeroCodee,"With the help of the top \"no-code\" software development platform, XeroCodee, anyone can create, publish, and maintain their own software applications, tech products, or tools to address business issue",2
Kukkee,https://fossunited.org/fosshack/2023/project?project=Kukkee,"Kukkee is a fast, free and open source meeting poll tool",1
Snake game,https://fossunited.org/fosshack/2023/project?project=Snake%20game,"casual snake game ",1
Bruno,https://fossunited.org/fosshack/2023/project?project=Bruno,"Local-first, Opensource IDE for Exploring and Testing API's",1
GG,https://fossunited.org/fosshack/2023/project?project=GG,"A bookmark management web app with sleek UI and cool features",1
waymond,https://fossunited.org/fosshack/2023/project?project=waymond,"Autoscale Anything Anywhere All at once!",1
Surplus Food Management,https://fossunited.org/fosshack/2023/project?project=Surplus%20Food%20Management,"Whatever the occasion, from house parties to weddings, there may be times when the food was prepared in excess and we almost threw it away. Yet, did you know that 828 million people go to bed hungry?",1
GCP Local,https://fossunited.org/fosshack/2023/project?project=GCP%20Local,"Extract, rotate, and delete pages instantly, or combine PDFs, all in just a few clicks.",1
Polymorph,https://fossunited.org/fosshack/2023/project?project=Polymorph,"A one stop shop for all your image conversion needs, for frontend devs",1
MailMan,https://fossunited.org/fosshack/2023/project?project=MailMan,"Sending emails can be a time-consuming and tedious task, especially when sending messages to a large group of recipients. Mailman is a mass email sending tool that can help streamline this process, sa",1
Photon,https://fossunited.org/fosshack/2023/project?project=Photon,"Photon is a cross-platform file-transfer application built using flutter. It uses http to transfer files between devices. You can transfer files between devices that run Photon.",1
Mail View,https://fossunited.org/fosshack/2023/project?project=Mail%20View,"A snappy minimal mail UI client that:\n- Exposes a RESTful interface that maybe used to extend the client/interact with it in a more user friendly manner\n- Does not use the standard `mbox`, `maildir` f",1
Lama2,https://fossunited.org/fosshack/2023/project?project=Lama2,"Lama2 is a plain-text powered API client/manager. It is a FOSS replacement for tools such as Postman/Insomnia, with a git-oriented workflow. Lama2 arguably has one of the cleanest syntax for API specs",1
Online Shopping website,https://fossunited.org/fosshack/2023/project?project=Online%20Shopping%20website,"Scalable online shopping website using python and Django.",1
Codehere,https://fossunited.org/fosshack/2023/project?project=Codehere,"Codehere is a learning platform which helps you to take your basic coding skill to the application level.",1
Project Management System,https://fossunited.org/fosshack/2023/project?project=Project%20Management%20System,"Seiri is an Open Source Project Management System which is a web-based tool designed for managing projects, tasks, and resources. This project management system is designed to be open source, customiz",1
Code Snippet Manager,https://fossunited.org/fosshack/2023/project?project=Code%20Snippet%20Manager,"It allows users to quickly retrieve and insert commonly used code snippets into their current projects, saving time and effort.\n\n",1
Cherrify,https://fossunited.org/fosshack/2023/project?project=Cherrify,"Contributing to a open source charity platform based in Himachal Pradesh",1
Calculator,https://fossunited.org/fosshack/2023/project?project=Calculator,"Works similar to the normal calci for n inputs without any declaration of size ",1
FinTrack,https://fossunited.org/fosshack/2023/project?project=FinTrack,"the open-source tool for pixel-perfect website migrations. Compare screenshots to achieve a perfect match when migrating to a new stack or spotting differences in similar web pages.",1
Credit Card fraud detection,https://fossunited.org/fosshack/2023/project?project=Credit%20Card%20fraud%20detection,"This is a basic method of detecting fraud in credit card transactions through the various identification markers present.",1
aicombinator,https://fossunited.org/fosshack/2023/project?project=aicombinator,"This is a product that lets you automate complex online tasks across multiple websites and webapps by describing them in natural language. \n\nFor example: \"Register myshop.com on Google Domains. Then s",1
She can,https://fossunited.org/fosshack/2023/project?project=She%20can,"A platform for womens to empower her mental health by monitoring and also develop her skills in three concepts of learning which is learn from expertise, learn from intraction and learn from experienc",1
Awesome\_food,https://fossunited.org/fosshack/2023/project?project=Awesome_food,"we tried to clone the modern food websites.",1
Flicker,https://fossunited.org/fosshack/2023/project?project=Flicker,"Flicker is a video editor app that allows users to create stunning screencasts from their recordings. With a user-friendly interface and a variety of templates, users can easily customize their videos",1
Crop detection and identification,https://fossunited.org/fosshack/2023/project?project=Crop%20detection%20and%20identification,"A machine learning project to detect crops and weeds in an agricultural field and provide appropriate data for supplying needed fertilizers and nutrients for the plants.",1
Unearthly,https://fossunited.org/fosshack/2023/project?project=Unearthly,"A Company Which Strives to Provide solutions on Daily basis Problems.",1
Home Assistant,https://fossunited.org/fosshack/2023/project?project=Home%20Assistant,"Home Assistant is a super well known Open Source Home Automation System 🏡💫\nWe'd like to bring a fresh new touch to the IDEA of Home Automation, with focus on making a personal statement. 😎\n",1
UNDERGROUND CABLE FAULT DETECTION,https://fossunited.org/fosshack/2023/project?project=UNDERGROUND%20CABLE%20FAULT%20DETECTION,"Overcoming with one technical solution to detect the faults which are striking in Underground cables with the help of in-build ADC (Analog to Digital Converter) of the Raspberry pi Pico controller kit",1
Snappy - Screen Recorder for Chrome,https://fossunited.org/fosshack/2023/project?project=Snappy%20-%20Screen%20Recorder%20for%20Chrome,"Screen Recorder extension for Chrome like Loom (https://www.loom.com)\nFeatures\n\\* Users will be able to capture full screen and also their camera which will be displayed as an overlay over the screen\n",1
UNIVERSITY DATABASE,https://fossunited.org/fosshack/2023/project?project=UNIVERSITY%20DATABASE,"University database have two main entites with STUDENT and FACULTY.Each entity have different attributes like id,name,phone number etc..\nSearching of the required data is available,updating the data i",1
wild guide,https://fossunited.org/fosshack/2023/project?project=wild%20guide,"This is an application which is really helpful for adventure lovers, who go for trekking in the wild. It detects the plants and gives its details which may be very helpful for trekkers.",1
OpenBadgX,https://fossunited.org/fosshack/2023/project?project=OpenBadgX,"An Open Source web app that allow you to issue personalized and verifiable certificates and badges in ease. Includes end-to-end functionality for awarding event/course certificates from template creat",1
GrieveBin,https://fossunited.org/fosshack/2023/project?project=GrieveBin,"A student's life is often considered as the time he/she develops, learns new things, gets experiences and along with it, he/she goes through a variety of grievances be it financial, institutional, per",1
API Dash,https://fossunited.org/fosshack/2023/project?project=API%20Dash,"API Dash is a beautiful open-source cross-platform HTTP Client that can help you explore APIs.",0
Project Manager,https://fossunited.org/fosshack/2023/project?project=Project%20Manager,"A web app that helps the project manager to keep track of the team members' progress and find the best path to approach a project .",0
Halo,https://fossunited.org/fosshack/2023/project?project=Halo,"Simple, but revolutionary.",0
Contributing to React-Play,https://fossunited.org/fosshack/2023/project?project=Contributing%20to%20React-Play,"Contributions to partner projects react-play and learn-awesome",0
OCaml-Multicore: Lockfree data structures,https://fossunited.org/fosshack/2023/project?project=OCaml-Multicore:%20Lockfree%20data%20structures,"Lockfree data structures in OCaml Multicore",0
Cloudbase,https://fossunited.org/fosshack/2023/project?project=Cloudbase,"Simple way to deploy and monitor applications and databases on cloud",0
Note Everything,https://fossunited.org/fosshack/2023/project?project=Note%20Everything,"Free and open source alternative for notepad with much added features .",0
Esurio Serpens,https://fossunited.org/fosshack/2023/project?project=Esurio%20Serpens,"Our goal is to control a snake and eat as many food items as possible without running into any obstacles.",0
HANGMAN-GAME,https://fossunited.org/fosshack/2023/project?project=HANGMAN-GAME,"Hangman is a word-guessing game where the user has to use his/her wits to figure out the word",0
Park,https://fossunited.org/fosshack/2023/project?project=Park,"Contributes to vaishakh3/Lipsum.",0
OpenSource Password Manager,https://fossunited.org/fosshack/2023/project?project=OpenSource%20Password%20Manager,"Password Generation | Encryption | Browser Integration | Opensource",0
⌯GoDownloader,https://fossunited.org/fosshack/2023/project?project=%E2%8C%AFGoDownloader,"As the name of the project suggests it's a download manager that uses Golang.\n\n",0
Agriculture,https://fossunited.org/fosshack/2023/project?project=Agriculture,"We r making which help the farmers in all kinds of way like providing suitable information regarding the crops,fertilizers and pesticides and helping the farmers to get the equipments in suitable pric",0
SyncVid,https://fossunited.org/fosshack/2023/project?project=SyncVid,"Group sync play video on any web page",0
Emergency response system,https://fossunited.org/fosshack/2023/project?project=Emergency%20response%20system,"A graphical interface for easily reporting emergencies such as accidents,fires etc more easily and efficiently.\nAlerts all departments necessary and shows the details in a visually mapped way",0
Suraksh,https://fossunited.org/fosshack/2023/project?project=Suraksh,"The goal of this project is to build an anonymous reporting system against drugs and drug trafficking. The system will be built as a web app, which can also be easily converted to a mobile app. The sy",0
IOT Industry Protection System Arduino,https://fossunited.org/fosshack/2023/project?project=IOT%20Industry%20Protection%20System%20Arduino,"The IOT industry protection system using Arduino is a system designed to protect industries from losses due to accidents using Internet of things",0
Adding QUIC as transport for rumqtt,https://fossunited.org/fosshack/2023/project?project=Adding%20QUIC%20as%20transport%20for%20rumqtt,"QUIC or RFC 9000 solves some interesting challenges that have great prospect in solving the problems in IoT networks. rumqtt is a pure rust implementation of the MQTT protocol, by adding support for Q",0
Backtesting\_Stocks,https://fossunited.org/fosshack/2023/project?project=Backtesting_Stocks,"Backtesting historical stock data.",0
omnichannel commerce with Frappe,https://fossunited.org/fosshack/2023/project?project=omnichannel%20commerce%20with%20Frappe,"All-in-one commerce platform\nSell anywhere you want from one platform.\nFrom Direct2Customer to retail to Business2Business to social media, sell across every channel and market—from one dynamic platfo",0
The-IoT-Project,https://fossunited.org/fosshack/2023/project?project=The-IoT-Project,"Self-hosted, lightweight IoT backend platform for managing IoT hardware devices with device monitoring, data collection and more inspired by Firebase.",0
Banking system,https://fossunited.org/fosshack/2023/project?project=Banking%20system,"Internet is being widely used as means of communication and referred as window to the world. People now rely on the internet to search for information, to purchase merchandise and to be informed of di",0
Artessa,https://fossunited.org/fosshack/2023/project?project=Artessa,"Artessa is a graphic design platform that allows users to create a wide variety of visual content, including social media graphics, presentations, posters, flyers, and more. An app like this would lik",0
WebSec,https://fossunited.org/fosshack/2023/project?project=WebSec,"Improving website security using extension ",0
Disaster relief,https://fossunited.org/fosshack/2023/project?project=Disaster%20relief,"A disaster relief app is designed to address a specific problem related to disaster relief and preparedness. The app provides a unique and innovative solution that can help individuals and communities",0
"OrbitClean" - A Space Debris Cleaning App,https://fossunited.org/fosshack/2023/project?project=%22OrbitClean%22%20-%20A%20Space%20Debris%20Cleaning%20App,"\"OrbitClean\" is a mobile application designed to help clean up space debris and prevent collisions with active spacecraft. ",0
demo,https://fossunited.org/fosshack/2023/project?project=demo,"deml",0
Simple cals,https://fossunited.org/fosshack/2023/project?project=Simple%20cals,"simple calculator ",0
Contributing to Listmonk API Docs,https://fossunited.org/fosshack/2023/project?project=Contributing%20to%20Listmonk%20API%20Docs,"Create a swagger collection for Listmonk APIs",0
Bike Rental system,https://fossunited.org/fosshack/2023/project?project=Bike%20Rental%20system,"1.1 Purpose\nFrom the BikeBook people would be able to rent the bike from a specific renting point. And they can rent the bike for that specific time period and after their use, they can submit the bik",0
Seyrek,https://fossunited.org/fosshack/2023/project?project=Seyrek,"Seyrek is an open source website that gives information about hackathons and other tech events. Here you can ask and solve your questions and answers. It also helps you share your experiences and let ",0
Train Reservations,https://fossunited.org/fosshack/2023/project?project=Train%20Reservations,"This code was created in-order to show a small demo about how the train ticket reservations can be done in a basic c programming language. This comprises of reservations, cancellations and to display ",0
Pomodoro Productive web app,https://fossunited.org/fosshack/2023/project?project=Pomodoro%20Productive%20web%20app,"Pomodoro apps are digital tools that help individuals apply the Pomodoro Technique to their work.",0
Screenshots,https://fossunited.org/fosshack/2023/project?project=Screenshots,"Freedom from the conventional way of writing notes.",0
Digital Padhayi,https://fossunited.org/fosshack/2023/project?project=Digital%20Padhayi,"It's a website where students can attend their online classes on time.The students can join the online class through the dash board where timetable is displayed.They can join the class by just clickin",0
Renarration Web,https://fossunited.org/fosshack/2023/project?project=Renarration%20Web,"Renarration Web is a set of browser based tools for creation of alternative content to existing websites so that the pages are accessible to low-literate people. ",0
chat bot SL,https://fossunited.org/fosshack/2023/project?project=chat%20bot%20SL,"Chat Bot project is a desktop application which is developed in Python platform",0
SAAS Boilerplate,https://fossunited.org/fosshack/2023/project?project=SAAS%20Boilerplate,"SAAS Boilerplate in Python and FastAPI to build micro-saas software quickly.",0
Food crop auction system,https://fossunited.org/fosshack/2023/project?project=Food%20crop%20auction%20system,"An open source website for farmers and traders to bid food crops.",0
Face-Recognition-based-Attendance-System,https://fossunited.org/fosshack/2023/project?project=Face-Recognition-based-Attendance-System,"This project of machine learning Face Recognition based Attendance System. As the name says this project takes attendance using biometrics (in this case face).",0
ShapeShift,https://fossunited.org/fosshack/2023/project?project=ShapeShift,"A platform user come and make there digital avatar by minimum input",0
MyKanban,https://fossunited.org/fosshack/2023/project?project=MyKanban,"A simple task management application ",0
e-PAN QR Reader,https://fossunited.org/fosshack/2023/project?project=e-PAN%20QR%20Reader,"A specification and library to read e-PAN QR codes, created by reverse-engineering the Android mobile application.",0
Implicit,https://fossunited.org/fosshack/2023/project?project=Implicit,"Adding newer collaborative filtering algorithm to the python package implicit ",0
TIC\_TAC\_TOE,https://fossunited.org/fosshack/2023/project?project=TIC_TAC_TOE,"A fun game to relax and enjoy few moments with your close onws!!",0
Chit Funds: A blockchain based model to enhance trust and unlock value creation,https://fossunited.org/fosshack/2023/project?project=Chit%20Funds:%20A%20blockchain%20based%20model%20to%20enhance%20trust%20and%20unlock%20value%20creation,"Chit funds as a financial instrument have many strengths and weaknesses (in operations and\nadministration). Blockchain can be leveraged to address many of the challenges, which would\nreduce the inform",0
Automated-Data-Preprocessing,https://fossunited.org/fosshack/2023/project?project=Automated-Data-Preprocessing,"This Project aims at automating the entire data preprocessing workflow. This helps ML Engineers by allowing them to focus on formulating algorithms for training of ML models with improved accuracy rat",0
wac,https://fossunited.org/fosshack/2023/project?project=wac,"Run and monitor workflows as code from the terminal",0
